id,model,cutoff,m_precision,recall,positive,f_measure
1,1_2,0.1300,0.2792,0.7828,0.4796,0.5948
2,1_2,0.1400,0.2792,0.7828,0.4796,0.5948
3,1_2,0.1500,0.2792,0.7828,0.4796,0.5948
4,2_3,0.1400,0.2900,0.7978,0.4996,0.6144
5,2_3,0.0400,0.1190,0.8201,0.4913,0.6144
6,3_4,0.1400,0.2708,0.6662,0.3555,0.4636
7,4_5,0.0900,0.1884,0.8916,0.4840,0.6274
8,5_6,0.0900,0.2141,0.7801,0.4727,0.5887
9,6_7,0.0800,0.1757,0.8207,0.4581,0.5880
10,7_8,0.0700,0.1594,0.8687,0.4285,0.5739
11,7_8,0.0400,0.1262,0.8442,0.4347,0.5739
12,8_9,0.0600,0.1323,0.9680,0.4797,0.6415
13,9_10,0.0600,0.1397,0.8158,0.4670,0.5940
14,10_11,0.0600,0.1337,0.8158,0.4195,0.5541
15,11_12,0.0500,0.1170,0.9418,0.4854,0.6406
16,12_13,0.0500,0.1176,0.8775,0.4443,0.5899
17,13_14,0.0500,0.1167,0.8576,0.4096,0.5544
18,14_15,0.0500,0.1158,0.8499,0.3776,0.5229
19,15_16,0.0400,0.0939,0.9415,0.4722,0.6290
20,16_17,0.0400,0.0934,0.9411,0.4367,0.5965
21,17_18,0.0400,0.1141,0.8747,0.4304,0.5769
22,18_19,0.0400,0.1412,0.8663,0.4416,0.5850
23,19_20,0.0400,0.1258,0.8669,0.4525,0.5946
24,20_21,0.0400,0.1258,0.8669,0.4568,0.5983
25,21_22,0.0400,0.1226,0.8606,0.4432,0.5851
26,22_23,0.0400,0.1290,0.8397,0.4367,0.5746
27,23_24,0.0700,0.1594,0.8687,0.4285,0.5739
28,23_24,0.0400,0.1262,0.8442,0.4347,0.5739
29,24_25,0.0400,0.1305,0.8357,0.4328,0.5702
30,25_26,0.0400,0.1247,0.8357,0.4257,0.5641
31,26_27,0.0400,0.1228,0.7883,0.4382,0.5633
32,27_28,0.0400,0.1250,0.8003,0.4576,0.5823
33,28_29,0.0400,0.1197,0.8036,0.4650,0.5891
34,29_30,0.0400,0.1231,0.8137,0.4800,0.6039
35,30_31,0.1400,0.2900,0.7978,0.4996,0.6144
36,30_31,0.0400,0.1190,0.8201,0.4913,0.6144
37,31_32,0.0400,0.1119,0.8201,0.4956,0.6179
